Time (sec), Heater 1 (%), Temperature 1 (degC)
1.270000000000000000e+03,4.000000000000000000e+00,7.065139528651639189e+00
1.271000000000000000e+03,4.000000000000000000e+00,6.798652525280857617e+00
1.272000000000000000e+03,4.000000000000000000e+00,6.563516934071344622e+00
1.273000000000000000e+03,4.000000000000000000e+00,6.356044353592362306e+00
1.274000000000000000e+03,4.000000000000000000e+00,6.172980311993260472e+00
1.275000000000000000e+03,4.000000000000000000e+00,6.011453216464641258e+00
1.276000000000000000e+03,4.000000000000000000e+00,5.868929308645271625e+00
1.277000000000000000e+03,4.000000000000000000e+00,5.743172919392886655e+00
1.278000000000000000e+03,4.000000000000000000e+00,5.632211399464311263e+00
1.279000000000000000e+03,4.000000000000000000e+00,5.534304175997921682e+00
1.280000000000000000e+03,4.000000000000000000e+00,5.447915449409930666e+00
1.281000000000000000e+03,4.000000000000000000e+00,5.371690102420526358e+00
1.282000000000000000e+03,4.000000000000000000e+00,5.304432443312228962e+00
1.283000000000000000e+03,4.000000000000000000e+00,5.245087449981378214e+00
1.284000000000000000e+03,4.000000000000000000e+00,5.192724220571803606e+00
1.285000000000000000e+03,4.000000000000000000e+00,5.146521371092767083e+00
1.286000000000000000e+03,4.000000000000000000e+00,5.105754150964205706e+00
1.287000000000000000e+03,4.000000000000000000e+00,5.069783074380181276e+00
1.288000000000000000e+03,4.000000000000000000e+00,5.038043889158982935e+00
1.289000000000000000e+03,4.000000000000000000e+00,5.010038725728513498e+00
1.290000000000000000e+03,4.000000000000000000e+00,4.985328287407511105e+00
1.291000000000000000e+03,4.000000000000000000e+00,4.963524959477215504e+00
1.292000000000000000e+03,4.000000000000000000e+00,4.944286728950483933e+00
1.293000000000000000e+03,4.000000000000000000e+00,4.927311819662191006e+00
1.294000000000000000e+03,4.000000000000000000e+00,4.912333958525461952e+00
1.295000000000000000e+03,4.000000000000000000e+00,4.899118198698936943e+00
1.296000000000000000e+03,4.000000000000000000e+00,4.887457234146120655e+00
1.297000000000000000e+03,4.000000000000000000e+00,4.877168147775988061e+00
1.298000000000000000e+03,4.000000000000000000e+00,4.868089542155282778e+00
1.299000000000000000e+03,4.000000000000000000e+00,4.860079007784072758e+00
1.300000000000000000e+03,4.000000000000000000e+00,4.853010889221240021e+00
1.301000000000000000e+03,4.000000000000000000e+00,4.846774314018740704e+00
1.302000000000000000e+03,4.000000000000000000e+00,4.841271453545947345e+00
1.303000000000000000e+03,4.000000000000000000e+00,4.836415988422894330e+00
1.304000000000000000e+03,4.000000000000000000e+00,4.832131754490788467e+00
1.305000000000000000e+03,4.000000000000000000e+00,4.828351548080107136e+00
1.306000000000000000e+03,4.000000000000000000e+00,4.825016071835388054e+00
1.307000000000000000e+03,4.000000000000000000e+00,4.822073004560635923e+00
1.308000000000000000e+03,4.000000000000000000e+00,4.819476180494678630e+00
1.309000000000000000e+03,4.000000000000000000e+00,4.817184865142363215e+00
1.310000000000000000e+03,4.000000000000000000e+00,4.815163116302084489e+00
1.311000000000000000e+03,4.000000000000000000e+00,4.813379220266544856e+00
1.312000000000000000e+03,4.000000000000000000e+00,4.811805194352833048e+00
1.313000000000000000e+03,4.000000000000000000e+00,4.810416347958381245e+00
1.314000000000000000e+03,4.000000000000000000e+00,4.809190895257394516e+00
1.315000000000000000e+03,4.000000000000000000e+00,4.808109613462406173e+00
1.316000000000000000e+03,4.000000000000000000e+00,4.807155541290358158e+00
