U-1, U-2, Y-3, Y-2, Yk
2.000000e-01,2.000000e-01,2.012802e-01,2.012765e-01,2.012777e-01
2.000000e-01,2.000000e-01,2.012765e-01,2.012777e-01,2.012748e-01
2.000000e-01,2.000000e-01,2.012777e-01,2.012748e-01,2.012758e-01
2.000000e-01,2.000000e-01,2.012748e-01,2.012758e-01,2.012735e-01
2.000000e-01,2.000000e-01,2.012758e-01,2.012735e-01,2.012743e-01
2.000000e-01,2.000000e-01,2.012735e-01,2.012743e-01,2.012725e-01
2.000000e-01,2.000000e-01,2.012743e-01,2.012725e-01,2.012731e-01
2.000000e-01,2.000000e-01,2.012725e-01,2.012731e-01,2.012717e-01
2.000000e-01,2.000000e-01,2.012731e-01,2.012717e-01,2.012722e-01
2.000000e-01,2.000000e-01,2.012717e-01,2.012722e-01,2.012711e-01
2.000000e-01,2.000000e-01,2.012722e-01,2.012711e-01,2.012715e-01
2.000000e-01,2.000000e-01,2.012711e-01,2.012715e-01,2.012706e-01
2.000000e-01,2.000000e-01,2.012715e-01,2.012706e-01,2.012709e-01
2.000000e-01,2.000000e-01,2.012706e-01,2.012709e-01,2.012703e-01
2.000000e-01,2.000000e-01,2.012709e-01,2.012703e-01,2.012705e-01
2.000000e-01,2.000000e-01,2.012703e-01,2.012705e-01,2.012700e-01
2.000000e-01,2.000000e-01,2.012705e-01,2.012700e-01,2.012702e-01
2.000000e-01,2.000000e-01,2.012700e-01,2.012702e-01,2.012697e-01
2.000000e-01,2.000000e-01,2.012702e-01,2.012697e-01,2.012699e-01
2.000000e-01,2.000000e-01,2.012697e-01,2.012699e-01,2.012695e-01
2.000000e-01,2.000000e-01,2.012699e-01,2.012695e-01,2.012697e-01
2.000000e-01,2.000000e-01,2.012695e-01,2.012697e-01,2.012694e-01
2.000000e-01,2.000000e-01,2.012697e-01,2.012694e-01,2.012695e-01
2.000000e-01,2.000000e-01,2.012694e-01,2.012695e-01,2.012693e-01
2.000000e-01,2.000000e-01,2.012695e-01,2.012693e-01,2.012694e-01
2.000000e-01,2.000000e-01,2.012693e-01,2.012694e-01,2.012693e-01
2.000000e-01,2.000000e-01,2.012694e-01,2.012693e-01,2.012693e-01
2.000000e-01,2.000000e-01,2.012693e-01,2.012693e-01,2.012692e-01
2.000000e-01,2.000000e-01,2.012693e-01,2.012692e-01,2.012692e-01
2.000000e-01,2.000000e-01,2.012692e-01,2.012692e-01,2.012692e-01
2.000000e-01,2.000000e-01,2.012692e-01,2.012692e-01,2.012692e-01
2.000000e-01,2.000000e-01,2.012692e-01,2.012692e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012692e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,2.000000e-01,2.012691e-01,2.012691e-01,2.012691e-01
2.000000e-01,1.000000e+00,2.012691e-01,2.012691e-01,3.789568e-01
1.000000e+00,1.000000e+00,2.012691e-01,3.789568e-01,3.780233e-01
1.000000e+00,1.000000e+00,3.789568e-01,3.780233e-01,5.175291e-01
1.000000e+00,1.000000e+00,3.780233e-01,5.175291e-01,5.156707e-01
1.000000e+00,1.000000e+00,5.175291e-01,5.156707e-01,6.252083e-01
1.000000e+00,1.000000e+00,5.156707e-01,6.252083e-01,6.228654e-01
1.000000e+00,1.000000e+00,6.252083e-01,6.228654e-01,7.088797e-01
1.000000e+00,1.000000e+00,6.228654e-01,7.088797e-01,7.063463e-01
1.000000e+00,1.000000e+00,7.088797e-01,7.063463e-01,7.738945e-01
1.000000e+00,1.000000e+00,7.063463e-01,7.738945e-01,7.713606e-01
1.000000e+00,1.000000e+00,7.738945e-01,7.713606e-01,8.244116e-01
1.000000e+00,1.000000e+00,7.713606e-01,8.244116e-01,8.219941e-01
1.000000e+00,1.000000e+00,8.244116e-01,8.219941e-01,8.636626e-01
1.000000e+00,1.000000e+00,8.219941e-01,8.636626e-01,8.614286e-01
1.000000e+00,1.000000e+00,8.636626e-01,8.614286e-01,8.941596e-01
1.000000e+00,1.000000e+00,8.614286e-01,8.941596e-01,8.921416e-01
1.000000e+00,1.000000e+00,8.941596e-01,8.921416e-01,9.178541e-01
1.000000e+00,1.000000e+00,8.921416e-01,9.178541e-01,9.160624e-01
1.000000e+00,1.000000e+00,9.178541e-01,9.160624e-01,9.362631e-01
1.000000e+00,1.000000e+00,9.160624e-01,9.362631e-01,9.346936e-01
1.000000e+00,1.000000e+00,9.362631e-01,9.346936e-01,9.505652e-01
1.000000e+00,1.000000e+00,9.346936e-01,9.505652e-01,9.492049e-01
1.000000e+00,1.000000e+00,9.505652e-01,9.492049e-01,9.616764e-01
1.000000e+00,1.000000e+00,9.492049e-01,9.616764e-01,9.605079e-01
1.000000e+00,1.000000e+00,9.616764e-01,9.605079e-01,9.703083e-01
1.000000e+00,1.000000e+00,9.605079e-01,9.703083e-01,9.693120e-01
1.000000e+00,1.000000e+00,9.703083e-01,9.693120e-01,9.770139e-01
1.000000e+00,1.000000e+00,9.693120e-01,9.770139e-01,9.761696e-01
1.000000e+00,1.000000e+00,9.770139e-01,9.761696e-01,9.822230e-01
1.000000e+00,1.000000e+00,9.761696e-01,9.822230e-01,9.815114e-01
1.000000e+00,1.000000e+00,9.822230e-01,9.815114e-01,9.862696e-01
1.000000e+00,1.000000e+00,9.815114e-01,9.862696e-01,9.856725e-01
1.000000e+00,1.000000e+00,9.862696e-01,9.856725e-01,9.894128e-01
