Tiempo (s)	Voltaje de entrada (V)	Corriente de salida (A)
2.192192192	14.30378733	0.140140665
2.202202202	14.30378733	0.140994539
2.212212212	14.30378733	0.14173054
2.222222222	14.30378733	0.142356711
2.232232232	14.30378733	0.142881624
2.242242242	14.30378733	0.143314133
2.252252252	14.30378733	0.143663161
2.262262262	14.30378733	0.143937527
2.272272272	14.30378733	0.144145802
2.282282282	14.30378733	0.1442962
2.292292292	14.30378733	0.144396497
2.302302302	14.30378733	0.144453963
2.312312312	14.30378733	0.144475327
2.322322322	14.30378733	0.144466752
2.332332332	14.30378733	0.144433826
2.342342342	14.30378733	0.144381564
2.352352352	14.30378733	0.144314421
2.362362362	14.30378733	0.144236314
2.372372372	14.30378733	0.14415065
2.382382382	14.30378733	0.144060352
2.392392392	14.30378733	0.143967898
2.402402402	14.30378733	0.143875356
2.412412412	14.30378733	0.143784419
2.422422422	14.30378733	0.143696446
2.432432432	14.30378733	0.143612494
2.442442442	14.30378733	0.143533354
2.452452452	14.30378733	0.14345959
2.462462462	14.30378733	0.143391562
2.472472472	14.30378733	0.143329464
2.482482482	14.30378733	0.143273346
2.492492492	14.30378733	0.14322314
2.502502503	14.30378733	0.143178685
2.512512513	14.30378733	0.143139741
2.522522523	14.30378733	0.143106017
2.532532533	14.30378733	0.143077176
2.542542543	14.30378733	0.143052854
2.552552553	14.30378733	0.143032674
2.562562563	14.30378733	0.14301625
2.572572573	14.30378733	0.143003197
2.582582583	14.30378733	0.142993142
2.592592593	14.30378733	0.142985722
2.602602603	14.30378733	0.142980593
2.612612613	14.30378733	0.142977434
2.622622623	14.30378733	0.142975944
2.632632633	14.30378733	0.142975846
2.642642643	14.30378733	0.142976892
2.652652653	14.30378733	0.142978853
2.662662663	14.30378733	0.142981528
2.672672673	14.30378733	0.14298474
2.682682683	14.30378733	0.142988332
2.692692693	14.30378733	0.142992171
2.702702703	14.30378733	0.142996141
2.712712713	14.30378733	0.143000148
2.722722723	14.30378733	0.143004112
2.732732733	14.30378733	0.143007969
2.742742743	14.30378733	0.143011668
2.752752753	14.30378733	0.14301517
2.762762763	14.30378733	0.143018448
2.772772773	14.30378733	0.143021483
2.782782783	14.30378733	0.143024265
2.792792793	14.30378733	0.143026789
2.802802803	14.30378733	0.143029056
2.812812813	14.30378733	0.143031072
2.822822823	14.30378733	0.143032846
2.832832833	14.30378733	0.143034388
2.842842843	14.30378733	0.143035714
2.852852853	14.30378733	0.143036839
2.862862863	14.30378733	0.14303778
2.872872873	14.30378733	0.143038551
2.882882883	14.30378733	0.14303917
2.892892893	14.30378733	0.143039654
2.902902903	14.30378733	0.143040017
2.912912913	14.30378733	0.143040275
2.922922923	14.30378733	0.143040443
2.932932933	14.30378733	0.143040533
2.942942943	14.30378733	0.14304056
2.952952953	14.30378733	0.143040533
2.962962963	14.30378733	0.143040462
2.972972973	14.30378733	0.143040358
2.982982983	14.30378733	0.143040227
2.992992993	14.30378733	0.143040077
3.003003003	14.30378733	0.143039914
3.013013013	14.30378733	0.143039744
3.023023023	14.30378733	0.143039571
3.033033033	14.30378733	0.143039398
3.043043043	14.30378733	0.143039229
